title;category;calories;premium;price_cents;
Pomme;Fruits & Légumes;52;FAUX;0;
Banane;Fruits & Légumes;89;FAUX;0;
Fraise;Fruits & Légumes;33;FAUX;0;
Abricot;Fruits & Légumes;45;FAUX;0;
Ananas frais;Fruits & Légumes;51;FAUX;0;
Cerises;Fruits & Légumes;77;FAUX;0;
Figue;Fruits & Légumes;80;FAUX;0;
Framboises;Fruits & Légumes;40;FAUX;0;
Grenade;Fruits & Légumes;64;FAUX;0;
Kiwi;Fruits & Légumes;53;FAUX;0;
Litchis;Fruits & Légumes;68;FAUX;0;
Mandarine;Fruits & Légumes;40;FAUX;0;
Mangue;Fruits & Légumes;62;FAUX;0;
Melon;Fruits & Légumes;31;FAUX;0;
Mirabelles;Fruits & Légumes;58;FAUX;0;
Myrtilles;Fruits & Légumes;16;FAUX;0;
Orange;Fruits & Légumes;40;FAUX;0;
Pamplemousse;Fruits & Légumes;40;FAUX;0;
Pastèque;Fruits & Légumes;30;FAUX;0;
Pêche;Fruits & Légumes;47;FAUX;0;
Poire;Fruits & Légumes;61;FAUX;0;
Pomme;Fruits & Légumes;52;FAUX;0;
Prune;Fruits & Légumes;58;FAUX;0;
Raisin;Fruits & Légumes;81;FAUX;0;
Artichaut;Fruits & Légumes;40;FAUX;0;
Asperges;Fruits & Légumes;26;FAUX;0;
Aubergine;Fruits & Légumes;29;FAUX;0;
Avocat;Fruits & Légumes;200;FAUX;0;
Brocolis;Fruits & Légumes;34;FAUX;0;
Carotte;Fruits & Légumes;38;FAUX;0;
Champignons;Fruits & Légumes;28;FAUX;0;
Chou;Fruits & Légumes;28;FAUX;0;
Chou de Bruxelles;Fruits & Légumes;54;FAUX;0;
Concombre;Fruits & Légumes;13;FAUX;0;
Courgette;Fruits & Légumes;30;FAUX;0;
Endive;Fruits & Légumes;20;FAUX;0;
Epinards;Fruits & Légumes;25;FAUX;0;
Fenouil;Fruits & Légumes;20;FAUX;0;
Haricot vert;Fruits & Légumes;40;FAUX;0;
Laitue;Fruits & Légumes;18;FAUX;0;
Mâche;Fruits & Légumes;36;FAUX;0;
Maîs;Fruits & Légumes;356;FAUX;0;
Navet;Fruits & Légumes;35;FAUX;0;
Patate douce;Fruits & Légumes;110;FAUX;0;
Petit pois;Fruits & Légumes;70;FAUX;0;
Poireau;Fruits & Légumes;42;FAUX;0;
Radis;Fruits & Légumes;20;FAUX;0;
Tomate;Fruits & Légumes;20;FAUX;0;
Côtelettes d’agneau;Viande & Fruits de mer;330;FAUX;0;
Gigot d’agneau;Viande & Fruits de mer;250;FAUX;0;
Andouillette;Viande & Fruits de mer;320;FAUX;0;
Bacon;Viande & Fruits de mer;385;FAUX;0;
Bavette (boeuf);Viande & Fruits de mer;200;FAUX;0;
Bifteck de boeuf;Viande & Fruits de mer;200;FAUX;0;
Bifteck de cheval;Viande & Fruits de mer;110;FAUX;0;
Aiguillette de boeuf;Viande & Fruits de mer;200;FAUX;0;
Côte de boeuf;Viande & Fruits de mer;260;FAUX;0;
Entrecôte;Viande & Fruits de mer;200;FAUX;0;
Faux-filet de boeuf;Viande & Fruits de mer;156;FAUX;0;
Onglet;Viande & Fruits de mer;200;FAUX;0;
Côte de porc;Viande & Fruits de mer;330;FAUX;0;
Côte de veau;Viande & Fruits de mer;168;FAUX;0;
Escalope de veau;Viande & Fruits de mer;170;FAUX;0;
Jambon fumé;Viande & Fruits de mer;380;FAUX;0;
Jambon cru;Viande & Fruits de mer;330;FAUX;0;
Merguez;Viande & Fruits de mer;520;FAUX;0;
Côte de mouton;Viande & Fruits de mer;300;FAUX;0;
Travers de porc;Viande & Fruits de mer;305;FAUX;0;
Poulet;Viande & Fruits de mer;150;FAUX;0;
Rôti de proc;Viande & Fruits de mer;300;FAUX;0;
Rôti de veau;Viande & Fruits de mer;168;FAUX;0;
Tartare de boeuf;Viande & Fruits de mer;300;FAUX;0;
Foie de veau;Viande & Fruits de mer;137;FAUX;0;
Bar;Viande & Fruits de mer;90;FAUX;0;
Lotte;Viande & Fruits de mer;79;FAUX;0;
Cabillaud;Viande & Fruits de mer;79;FAUX;0;
Calmar;Viande & Fruits de mer;89;FAUX;0;
Colin;Viande & Fruits de mer;92;FAUX;0;
Daurade;Viande & Fruits de mer;77;FAUX;0;
Espadon;Viande & Fruits de mer;116;FAUX;0;
Hareng frais;Viande & Fruits de mer;149;FAUX;0;
Maquereau frais;Viande & Fruits de mer;128;FAUX;0;
Poisson à l’huile;Viande & Fruits de mer;325;FAUX;0;
Coquilles St-Jacques;Viande & Fruits de mer;74;FAUX;0;
Sardines à l’huile;Viande & Fruits de mer;125;FAUX;0;
Saumon fumé;Viande & Fruits de mer;265;FAUX;0;
Sole;Viande & Fruits de mer;78;FAUX;0;
Soupe de poissons;Viande & Fruits de mer;90;FAUX;0;
Thon frais;Viande & Fruits de mer;225;FAUX;0;
Couteaux;Viande & Fruits de mer;55;FAUX;0;
Crabe frais;Viande & Fruits de mer;85;FAUX;0;
Gambas;Viande & Fruits de mer;98;FAUX;0;
Homard;Viande & Fruits de mer;80;FAUX;0;
Huîtres;Viande & Fruits de mer;70;FAUX;0;
Langoustine;Viande & Fruits de mer;90;FAUX;0;
Moules;Viande & Fruits de mer;70;FAUX;0;
Poulpe;Viande & Fruits de mer;70;FAUX;0;
Crevettes;Viande & Fruits de mer;98;FAUX;0;
Noix de cajou;Accompagnement;612;FAUX;0;
Olives noires;Accompagnement;336;FAUX;0;
Olives vertes;Accompagnement;123;FAUX;0;
Anchois;Accompagnement;160;FAUX;0;
Oeuf dur;Accompagnement;70;FAUX;0;
Oeuf au plat;Accompagnement;90;FAUX;0;
Cornichons;Accompagnement;13;FAUX;0;
Lentilles;Accompagnement;338;FAUX;0;
Macédoine de légumes;Accompagnement;72;FAUX;0;
